group1	group2	p_value	p_adj_bh
wild	improved	2.93704176082714e-24	8.81112528248142e-24
wild	landrace	9.55774372194683e-21	1.43366155829202e-20
landrace	improved	2.66645539694463e-10	2.66645539694463e-10
