sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[123]282set_CML45:GT	improved	5%	-312168.541325	10	312168.541325
[124]282set_CML5:GT	improved	5%	-303629.311706	10	303629.311706
[125]282set_CML52:GT	improved	5%	-307733.604132	10	307733.604132
[126]282set_CML61:GT	improved	5%	-303836.809784	10	303836.809784
[127]282set_CML69:GT	improved	5%	-306413.893944	10	306413.893944
[128]282set_CML77:GT	improved	5%	-302588.109047	10	302588.109047
[129]282set_CML91:GT	improved	5%	-299943.740109	10	299943.740109
[130]282set_CML92:GT	improved	5%	-298941.644536	10	298941.644536
[131]282set_CMV3:GT	improved	5%	-304259.417085	10	304259.417085
[132]282set_CO106:GT	improved	5%	-300776.045862	10	300776.045862
[133]282set_CO125:GT	improved	5%	-295566.809301	10	295566.809301
[134]282set_CO255:GT	improved	5%	-311741.77043	10	311741.77043
[135]282set_D940Y:GT	improved	5%	-307068.268854	10	307068.268854
[136]282set_DE1:GT	improved	5%	-303056.911927	10	303056.911927
[137]282set_DE-2:GT	improved	5%	-298162.768256	10	298162.768256
[138]282set_DE811:GT	improved	5%	-264445.267206	10	264445.267206
[139]282set_E2558W:GT	improved	5%	-296541.145349	10	296541.145349
[140]282set_EP1:GT	improved	5%	-315744.458903	10	315744.458903
[141]282set_F2834T:GT	improved	5%	-301468.097345	10	301468.097345
[142]282set_F6:GT	improved	5%	-304240.128198	10	304240.128198
[143]282set_F7:GT	improved	5%	-320268.940942	10	320268.940942
[144]282set_GA209:GT	improved	5%	-295958.954621	10	295958.954621
[145]282set_GT112:GT	improved	5%	-304680.131124	10	304680.131124
[146]282set_H105W:GT	improved	5%	-260706.085903	10	260706.085903
[147]282set_H49:GT	improved	5%	-295783.332425	10	295783.332425
[148]282set_H84:GT	improved	5%	-263084.978757	10	263084.978757
[149]282set_H91:GT	improved	5%	-218815.612887	10	218815.612887
[150]282set_H95:GT	improved	5%	-303882.39818	10	303882.39818
[151]282set_H99:GT	improved	5%	-300620.758574	10	300620.758574
[152]282set_Hi27Goodman-Buckler:GT	improved	5%	-285522.537354	10	285522.537354
[153]282set_HP301:GT	improved	5%	-301867.231124	10	301867.231124
[154]282set_I137TN:GT	improved	5%	-301764.059866	10	301764.059866
[155]282set_i1677a:GT	improved	5%	-310288.267333	10	310288.267333
[156]282set_I205:GT	improved	5%	-284056.872495	10	284056.872495
[157]282set_I29:GT	improved	5%	-296149.526267	10	296149.526267
[158]282set_IA2132Goodman-Buckler:GT	improved	5%	-301411.520508	10	301411.520508
[159]282set_Ia5125:GT	improved	5%	-305403.028658	10	305403.028658
[160]282set_IDS28:GT	improved	5%	-303626.087687	10	303626.087687
[161]282set_IDS69:GT	improved	5%	-305329.025423	10	305329.025423
[162]282set_IDS91:GT	improved	5%	-304095.033834	10	304095.033834
[163]282set_Il101:GT	improved	5%	-317314.162673	10	317314.162673
[164]282set_Il14H:GT	improved	5%	-314750.176178	10	314750.176178
[165]282set_ILLHy:GT	improved	5%	-262761.182041	10	262761.182041
[166]282set_K148:GT	improved	5%	-300724.017905	10	300724.017905
[167]282set_K4:GT	improved	5%	-296346.513663	10	296346.513663
[168]282set_K55:GT	improved	5%	-296363.543376	10	296363.543376
[169]282set_K64:GT	improved	5%	-295574.642623	10	295574.642623
[170]282set_Ki11:GT	improved	5%	-314372.135471	10	314372.135471
[171]282set_Ki14:GT	improved	5%	-313110.290585	10	313110.290585
[172]282set_Ki2021:GT	improved	5%	-312012.15412	10	312012.15412
[173]282set_Ki21:GT	improved	5%	-315553.587433	10	315553.587433
[174]282set_Ki43:GT	improved	5%	-313943.79142	10	313943.79142
[175]282set_Ki44:GT	improved	5%	-305415.786534	10	305415.786534
[176]282set_Ky21:GT	improved	5%	-292964.208844	10	292964.208844
[177]282set_KY226:GT	improved	5%	-284564.866529	10	284564.866529
[178]282set_KY228:GT	improved	5%	-301734.292687	10	301734.292687
[179]282set_L317:GT	improved	5%	-315709.394646	10	315709.394646
[180]282set_L578:GT	improved	5%	-300231.914946	10	300231.914946
[181]282set_M14:GT	improved	5%	-286135.027219	10	286135.027219
[182]282set_M162W:GT	improved	5%	-307018.225306	10	307018.225306
[183]282set_M37W:GT	improved	5%	-309697.058108	10	309697.058108
[184]282set_MEF156-55-2:GT	improved	5%	-308677.439596	10	308677.439596
[185]282set_Mo17:GT	improved	5%	-317713.502772	10	317713.502772
[186]282set_Mo18W:GT	improved	5%	-304358.98156	10	304358.98156
[187]282set_MO1W:GT	improved	5%	-297973.855965	10	297973.855965
[188]282set_Mo24W:GT	improved	5%	-300745.805861	10	300745.805861
[189]282set_Mo44:GT	improved	5%	-290043.551535	10	290043.551535
[190]282set_Mo45:GT	improved	5%	-303574.122971	10	303574.122971
[191]282set_Mo46:GT	improved	5%	-299225.785496	10	299225.785496
[192]282set_Mo47:GT	improved	5%	-284629.247966	10	284629.247966
[193]282set_MoG:GT	improved	5%	-304618.539707	10	304618.539707
[194]282set_Mp339:GT	improved	5%	-298103.948641	10	298103.948641
[195]282set_MS1334:GT	improved	5%	-301423.844901	10	301423.844901
[196]282set_MS153:GT	improved	5%	-297849.786554	10	297849.786554
[197]282set_Mt42:GT	improved	5%	-305627.949355	10	305627.949355
[198]282set_N192:GT	improved	5%	-85452.232701	10	85452.232701
[199]282set_N28Ht:GT	improved	5%	-255623.464927	10	255623.464927
[200]282set_NC222:GT	improved	5%	-299447.793182	10	299447.793182
[201]282set_NC230:GT	improved	5%	-296930.001852	10	296930.001852
[202]282set_NC232:GT	improved	5%	-298331.267911	10	298331.267911
[203]282set_NC236:GT	improved	5%	-292373.677867	10	292373.677867
[204]282set_NC238:GT	improved	5%	-300018.867488	10	300018.867488
[205]282set_NC250:GT	improved	5%	-274532.817299	10	274532.817299
[206]282set_NC258:GT	improved	5%	-315594.607791	10	315594.607791
[207]282set_NC260:GT	improved	5%	-298324.86245	10	298324.86245
[208]282set_NC262:GT	improved	5%	-313238.896044	10	313238.896044
[209]282set_NC264:GT	improved	5%	-306576.749045	10	306576.749045
[210]282set_NC290A:GT	improved	5%	-313887.611954	10	313887.611954
[211]282set_NC294:GT	improved	5%	-130611.050565	10	130611.050565
[212]282set_NC296:GT	improved	5%	-310700.616617	10	310700.616617
[213]282set_NC296A:GT	improved	5%	-306816.517379	10	306816.517379
[214]282set_NC298:GT	improved	5%	-172524.963026	10	172524.963026
[215]282set_NC300:GT	improved	5%	-305027.104857	10	305027.104857
[216]282set_NC302:GT	improved	5%	-312549.34819	10	312549.34819
