sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load
V127	improved	-549194.9258265	85998	10	549194.9258265
V128	improved	-587688.0114787	92209	10	587688.0114787
V129	improved	-879654.0380707	138332	10	879654.0380707
V130	improved	-928243.3440995	145941	10	928243.3440995
V131	improved	-501435.8116495	78989	10	501435.8116495
V132	improved	-750873.3495697	118283	10	750873.3495697
V5	landrace	-718590.3706954	112910	10	718590.3706954
V6	landrace	-740765.8666755	116458	10	740765.8666755
V7	landrace	-642865.1827538	101068	10	642865.1827538
V8	landrace	-773723.9615239	121641	10	773723.9615239
V9	landrace	-914183.7212334	143999	10	914183.7212334
V10	landrace	-821128.7389794	128951	10	821128.7389794
V11	landrace	-883664.7979707	138970	10	883664.7979707
V12	landrace	-910855.8733424	143042	10	910855.8733424
V13	landrace	-610263.2527834	96142	10	610263.2527834
V14	landrace	-870264.6654288	137173	10	870264.6654288
V15	landrace	-576973.9962628	90714	10	576973.9962628
V16	landrace	-511336.0222045	80347	10	511336.0222045
V17	landrace	-570578.0992321	89293	10	570578.0992321
V18	landrace	-794581.1828618	124866	10	794581.1828618
V19	landrace	-740535.0076395	116232	10	740535.0076395
V20	landrace	-995672.1495175	156676	10	995672.1495175
V21	landrace	-686816.5382825	107776	10	686816.5382825
V22	landrace	-819280.4046937	128626	10	819280.4046937
V23	landrace	-727171.1222577	114160	10	727171.1222577
V24	landrace	-808257.3489922	126950	10	808257.3489922
V25	landrace	-720961.8964198	113329	10	720961.8964198
V26	landrace	-917316.5005338	144049	10	917316.5005338
V27	landrace	-918605.0915498	144710	10	918605.0915498
V28	landrace	-990306.031956	155844	10	990306.031956
V29	landrace	-950568.1730245	149591	10	950568.1730245
V30	landrace	-883646.6500045	138968	10	883646.6500045
V31	landrace	-914660.4614081	143720	10	914660.4614081
V32	landrace	-1006782.5296607	158425	10	1006782.5296607
V33	landrace	-914949.2107469	143821	10	914949.2107469
V34	landrace	-608939.2723978	95707	10	608939.2723978
V35	landrace	-732049.3430229	114874	10	732049.3430229
V36	landrace	-523449.4320179	82022	10	523449.4320179
V37	landrace	-829868.3291472	130284	10	829868.3291472
V38	landrace	-825981.3877847	129791	10	825981.3877847
V39	landrace	-898612.4639892	141123	10	898612.4639892
V40	landrace	-796445.2545245	125216	10	796445.2545245
V41	landrace	-879931.3348745	138148	10	879931.3348745
V42	landrace	-932771.2155164	146589	10	932771.2155164
V43	landrace	-814053.9659823	127800	10	814053.9659823
V44	landrace	-887426.0118387	139476	10	887426.0118387
V45	landrace	-796208.2131236	124988	10	796208.2131236
V46	landrace	-915629.5948578	143862	10	915629.5948578
V47	landrace	-816195.3867617	128297	10	816195.3867617
V48	landrace	-790262.9728227	124053	10	790262.9728227
V49	landrace	-772930.8319419	121383	10	772930.8319419
V50	landrace	-662883.5195467	104059	10	662883.5195467
V51	landrace	-750735.6194127	117919	10	750735.6194127
V52	landrace	-899084.2186975	141280	10	899084.2186975
V53	landrace	-767884.408372	120690	10	767884.408372
V54	landrace	-841596.1153365	132477	10	841596.1153365
V55	landrace	-546579.9873269	85628	10	546579.9873269
V56	landrace	-829062.2906105	130613	10	829062.2906105
V57	landrace	-904684.4291432	142306	10	904684.4291432
V58	landrace	-641263.4188545	100661	10	641263.4188545
V59	landrace	-520084.146419	81350	10	520084.146419
V60	landrace	-659028.6262481	103812	10	659028.6262481
V61	landrace	-956560.3420362	150665	10	956560.3420362
V62	landrace	-630823.8305681	99047	10	630823.8305681
V63	landrace	-592785.4509681	92871	10	592785.4509681
V64	landrace	-917390.1658244	144428	10	917390.1658244
V65	landrace	-640016.7777893	100335	10	640016.7777893
V66	landrace	-669965.6539384	104935	10	669965.6539384
V67	landrace	-1354994.7057756	213016	10	1354994.7057756
V68	landrace	-920874.2231666	144591	10	920874.2231666
V69	landrace	-789969.6059497	124260	10	789969.6059497
V70	landrace	-603118.3103763	94781	10	603118.3103763
V71	landrace	-622837.2942378	97860	10	622837.2942378
V72	landrace	-956883.4628972	150370	10	956883.4628972
V73	landrace	-943970.2819128	148164	10	943970.2819128
V74	landrace	-914581.758116	143722	10	914581.758116
V75	landrace	-877634.7919462	137799	10	877634.7919462
V76	landrace	-890194.1732538	139949	10	890194.1732538
V77	landrace	-641943.7099382	100785	10	641943.7099382
V78	landrace	-901645.8409764	141681	10	901645.8409764
V79	landrace	-917171.0965455	144163	10	917171.0965455
V80	landrace	-846512.3116014	133159	10	846512.3116014
V81	landrace	-934464.9899344	146993	10	934464.9899344
V82	landrace	-900628.6162157	141486	10	900628.6162157
V83	landrace	-842929.8299399	132680	10	842929.8299399
V84	landrace	-975187.6921495	153358	10	975187.6921495
V85	landrace	-762106.6313531	119766	10	762106.6313531
V86	landrace	-868236.0416016	136349	10	868236.0416016
V87	landrace	-802716.0660853	125934	10	802716.0660853
V88	landrace	-899365.7222559	141194	10	899365.7222559
V89	landrace	-942505.2942012	148245	10	942505.2942012
V90	landrace	-634577.5686211	99597	10	634577.5686211
V91	landrace	-915941.1693841	144172	10	915941.1693841
V92	landrace	-793853.6632062	124998	10	793853.6632062
V93	landrace	-940588.1930508	147713	10	940588.1930508
V94	landrace	-664239.0374997	104576	10	664239.0374997
V95	landrace	-588159.4380946	92473	10	588159.4380946
V96	landrace	-518157.5979561	81201	10	518157.5979561
V97	landrace	-499657.0159326	78421	10	499657.0159326
V98	landrace	-615379.6079933	96779	10	615379.6079933
V99	landrace	-725617.548628	114306	10	725617.548628
V100	landrace	-763599.6092908	120128	10	763599.6092908
V101	landrace	-770587.0225097	121183	10	770587.0225097
V102	landrace	-723440.8280674	113918	10	723440.8280674
V103	landrace	-763077.7927716	120067	10	763077.7927716
V104	landrace	-838473.8802762	131946	10	838473.8802762
V105	landrace	-690891.0158329	108576	10	690891.0158329
V5	wild	-1061764.0360416	167441	10	1061764.0360416
V6	wild	-1365279.0707154	214637	10	1365279.0707154
V7	wild	-1105531.475401	173634	10	1105531.475401
V8	wild	-1320154.4845868	208017	10	1320154.4845868
V9	wild	-1434492.2873256	225390	10	1434492.2873256
V10	wild	-1139892.7728262	179459	10	1139892.7728262
V11	wild	-1251709.6833375	196983	10	1251709.6833375
V12	wild	-1261929.0246928	198851	10	1261929.0246928
V13	wild	-1252507.4482601	197420	10	1252507.4482601
V14	wild	-1013366.3167501	159217	10	1013366.3167501
V15	wild	-870165.7925399	136771	10	870165.7925399
V16	wild	-1140357.0989177	179388	10	1140357.0989177
V17	wild	-1071832.4963081	168337	10	1071832.4963081
V18	wild	-1618873.6654749	254142	10	1618873.6654749
V19	wild	-1037112.9254878	162992	10	1037112.9254878
V20	wild	-1439191.231213	226216	10	1439191.231213
V21	wild	-1498088.1489058	235385	10	1498088.1489058
V22	wild	-1689966.2092815	265799	10	1689966.2092815
V23	wild	-1050822.7957764	165527	10	1050822.7957764
V24	wild	-976155.769194	153466	10	976155.769194
V25	wild	-881636.9672897	138643	10	881636.9672897
V26	wild	-1233093.5147342	194108	10	1233093.5147342
V27	wild	-1022583.0506138	161105	10	1022583.0506138
V28	wild	-1033141.5579026	162607	10	1033141.5579026
V29	wild	-1256163.1644447	197244	10	1256163.1644447
V30	wild	-1599856.4805633	251609	10	1599856.4805633
V31	wild	-1582225.6882626	248803	10	1582225.6882626
V32	wild	-975013.6476461	153096	10	975013.6476461
V33	wild	-1105004.4383242	174043	10	1105004.4383242
V34	wild	-1032355.4121383	162581	10	1032355.4121383
V35	wild	-900703.5429094	141462	10	900703.5429094
V36	wild	-1125254.1899991	177288	10	1125254.1899991
V37	wild	-1692930.1580388	265888	10	1692930.1580388
V38	wild	-1514486.6111104	237979	10	1514486.6111104
V39	wild	-1422462.8617261	223629	10	1422462.8617261
V40	wild	-1541811.0543126	242579	10	1541811.0543126
V41	wild	-941259.6021248	147815	10	941259.6021248
V42	wild	-1205242.7576151	189607	10	1205242.7576151
V43	wild	-1491421.6205462	234554	10	1491421.6205462
V44	wild	-1164146.2290857	183405	10	1164146.2290857
V45	wild	-1568996.1355471	246645	10	1568996.1355471
V46	wild	-1396115.8591848	219462	10	1396115.8591848
V47	wild	-1064741.4786338	167535	10	1064741.4786338
V48	wild	-1486829.9086397	233725	10	1486829.9086397
V49	wild	-1046151.5793675	164657	10	1046151.5793675
V50	wild	-1506804.8756212	236741	10	1506804.8756212
V51	wild	-1459370.4629474	229151	10	1459370.4629474
V52	wild	-1459776.4570817	229307	10	1459776.4570817
V53	wild	-1200551.1593798	189052	10	1200551.1593798
