group1	group2	p_value	p_adj_bh
wild	improved	6.88908243646167e-17	2.0667247309385e-16
landrace	improved	2.81266743896227e-10	4.2190011584434e-10
wild	landrace	2.52167672868406e-05	2.52167672868406e-05
