sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load
[99]282set_CML158Q:GT	improved	-303863.757058	77999	10	303863.757058
[100]282set_CML218:GT	improved	-308511.840978	79406	10	308511.840978
[101]282set_CML220:GT	improved	-302667.498698	77755	10	302667.498698
[102]282set_CML228:GT	improved	-312426.531684	80191	10	312426.531684
[103]282set_CML238:GT	improved	-304289.263981	78202	10	304289.263981
[104]282set_CML247:GT	improved	-308671.403888	79234	10	308671.403888
[105]282set_CML254:GT	improved	-301208.498663	77410	10	301208.498663
[106]282set_CML258:GT	improved	-300681.873188	77351	10	300681.873188
[107]282set_CML261:GT	improved	-296171.796491	76142	10	296171.796491
[108]282set_CML264:GT	improved	-302187.973823	77831	10	302187.973823
[109]282set_CML277:GT	improved	-305932.987734	78690	10	305932.987734
[110]282set_CML281:GT	improved	-303805.39703	78089	10	303805.39703
[111]282set_CML287:GT	improved	-304609.672628	78230	10	304609.672628
[112]282set_CML311:GT	improved	-305985.133185	78621	10	305985.133185
[113]282set_CML314:GT	improved	-300369.435343	77173	10	300369.435343
[114]282set_CML321:GT	improved	-302830.073269	77881	10	302830.073269
[115]282set_CML322:GT	improved	-304525.57383	78174	10	304525.57383
[116]282set_CML323:GT	improved	-301029.347526	77393	10	301029.347526
[117]282set_CML328:GT	improved	-311055.146768	79861	10	311055.146768
[118]282set_CML331:GT	improved	-304666.465862	78223	10	304666.465862
[119]282set_CML332:GT	improved	-303672.877771	77942	10	303672.877771
[120]282set_CML333:GT	improved	-305605.959131	78515	10	305605.959131
[121]282set_CML341:GT	improved	-301353.452404	77687	10	301353.452404
[122]282set_CML38:GT	improved	-306565.271697	78800	10	306565.271697
[123]282set_CML45:GT	improved	-312168.541325	80154	10	312168.541325
[124]282set_CML5:GT	improved	-303629.311706	78103	10	303629.311706
[125]282set_CML52:GT	improved	-307733.604132	79030	10	307733.604132
[126]282set_CML61:GT	improved	-303836.809784	78013	10	303836.809784
[127]282set_CML69:GT	improved	-306413.893944	78660	10	306413.893944
[128]282set_CML77:GT	improved	-302588.109047	77660	10	302588.109047
[129]282set_CML91:GT	improved	-299943.740109	77210	10	299943.740109
[130]282set_CML92:GT	improved	-298941.644536	76783	10	298941.644536
[131]282set_CMV3:GT	improved	-304259.417085	78220	10	304259.417085
[132]282set_CO106:GT	improved	-300776.045862	77166	10	300776.045862
[133]282set_CO125:GT	improved	-295566.809301	75823	10	295566.809301
[134]282set_CO255:GT	improved	-311741.77043	79869	10	311741.77043
[135]282set_D940Y:GT	improved	-307068.268854	78696	10	307068.268854
[136]282set_DE1:GT	improved	-303056.911927	77552	10	303056.911927
[137]282set_DE-2:GT	improved	-298162.768256	76263	10	298162.768256
[138]282set_DE811:GT	improved	-264445.267206	67735	10	264445.267206
[139]282set_E2558W:GT	improved	-296541.145349	76020	10	296541.145349
[140]282set_EP1:GT	improved	-315744.458903	80997	10	315744.458903
[141]282set_F2834T:GT	improved	-301468.097345	77320	10	301468.097345
[142]282set_F6:GT	improved	-304240.128198	78012	10	304240.128198
[143]282set_F7:GT	improved	-320268.940942	82232	10	320268.940942
[144]282set_GA209:GT	improved	-295958.954621	76081	10	295958.954621
[145]282set_GT112:GT	improved	-304680.131124	78114	10	304680.131124
[146]282set_H105W:GT	improved	-260706.085903	66757	10	260706.085903
[147]282set_H49:GT	improved	-295783.332425	75640	10	295783.332425
[148]282set_H84:GT	improved	-263084.978757	67358	10	263084.978757
[149]282set_H91:GT	improved	-218815.612887	56075	10	218815.612887
[150]282set_H95:GT	improved	-303882.39818	77911	10	303882.39818
[151]282set_H99:GT	improved	-300620.758574	77051	10	300620.758574
[152]282set_Hi27Goodman-Buckler:GT	improved	-285522.537354	73317	10	285522.537354
[153]282set_HP301:GT	improved	-301867.231124	77334	10	301867.231124
[154]282set_I137TN:GT	improved	-301764.059866	77543	10	301764.059866
[155]282set_i1677a:GT	improved	-310288.267333	79490	10	310288.267333
[156]282set_I205:GT	improved	-284056.872495	72671	10	284056.872495
[157]282set_I29:GT	improved	-296149.526267	76003	10	296149.526267
[158]282set_IA2132Goodman-Buckler:GT	improved	-301411.520508	77243	10	301411.520508
[159]282set_Ia5125:GT	improved	-305403.028658	78213	10	305403.028658
[160]282set_IDS28:GT	improved	-303626.087687	77952	10	303626.087687
[161]282set_IDS69:GT	improved	-305329.025423	78199	10	305329.025423
[162]282set_IDS91:GT	improved	-304095.033834	77884	10	304095.033834
[163]282set_Il101:GT	improved	-317314.162673	81527	10	317314.162673
[164]282set_Il14H:GT	improved	-314750.176178	80767	10	314750.176178
[165]282set_ILLHy:GT	improved	-262761.182041	67152	10	262761.182041
[166]282set_K148:GT	improved	-300724.017905	77090	10	300724.017905
[167]282set_K4:GT	improved	-296346.513663	75939	10	296346.513663
[168]282set_K55:GT	improved	-296363.543376	75979	10	296363.543376
[169]282set_K64:GT	improved	-295574.642623	75904	10	295574.642623
[170]282set_Ki11:GT	improved	-314372.135471	80630	10	314372.135471
[171]282set_Ki14:GT	improved	-313110.290585	80404	10	313110.290585
[172]282set_Ki2021:GT	improved	-312012.15412	80025	10	312012.15412
[173]282set_Ki21:GT	improved	-315553.587433	80899	10	315553.587433
[174]282set_Ki43:GT	improved	-313943.79142	80525	10	313943.79142
[175]282set_Ki44:GT	improved	-305415.786534	78378	10	305415.786534
[176]282set_Ky21:GT	improved	-292964.208844	75176	10	292964.208844
[177]282set_KY226:GT	improved	-284564.866529	73098	10	284564.866529
[178]282set_KY228:GT	improved	-301734.292687	77292	10	301734.292687
[179]282set_L317:GT	improved	-315709.394646	81056	10	315709.394646
[180]282set_L578:GT	improved	-300231.914946	77124	10	300231.914946
[181]282set_M14:GT	improved	-286135.027219	73293	10	286135.027219
[182]282set_M162W:GT	improved	-307018.225306	78891	10	307018.225306
[183]282set_M37W:GT	improved	-309697.058108	79270	10	309697.058108
[184]282set_MEF156-55-2:GT	improved	-308677.439596	79070	10	308677.439596
[185]282set_Mo17:GT	improved	-317713.502772	81039	10	317713.502772
[186]282set_Mo18W:GT	improved	-304358.98156	78129	10	304358.98156
[187]282set_MO1W:GT	improved	-297973.855965	76232	10	297973.855965
[188]282set_Mo24W:GT	improved	-300745.805861	77136	10	300745.805861
[189]282set_Mo44:GT	improved	-290043.551535	74115	10	290043.551535
[190]282set_Mo45:GT	improved	-303574.122971	77624	10	303574.122971
[191]282set_Mo46:GT	improved	-299225.785496	76734	10	299225.785496
[192]282set_Mo47:GT	improved	-284629.247966	73024	10	284629.247966
[193]282set_MoG:GT	improved	-304618.539707	78136	10	304618.539707
[194]282set_Mp339:GT	improved	-298103.948641	76402	10	298103.948641
[195]282set_MS1334:GT	improved	-301423.844901	77272	10	301423.844901
[196]282set_MS153:GT	improved	-297849.786554	76187	10	297849.786554
[197]282set_Mt42:GT	improved	-305627.949355	78264	10	305627.949355
[198]282set_N192:GT	improved	-85452.232701	22049	10	85452.232701
[199]282set_N28Ht:GT	improved	-255623.464927	65404	10	255623.464927
[200]282set_NC222:GT	improved	-299447.793182	76845	10	299447.793182
[201]282set_NC230:GT	improved	-296930.001852	76118	10	296930.001852
[202]282set_NC232:GT	improved	-298331.267911	76553	10	298331.267911
[203]282set_NC236:GT	improved	-292373.677867	74992	10	292373.677867
[204]282set_NC238:GT	improved	-300018.867488	76912	10	300018.867488
[205]282set_NC250:GT	improved	-274532.817299	70424	10	274532.817299
[206]282set_NC258:GT	improved	-315594.607791	80623	10	315594.607791
[207]282set_NC260:GT	improved	-298324.86245	76291	10	298324.86245
[208]282set_NC262:GT	improved	-313238.896044	80104	10	313238.896044
[209]282set_NC264:GT	improved	-306576.749045	78756	10	306576.749045
[210]282set_NC290A:GT	improved	-313887.611954	80355	10	313887.611954
[211]282set_NC294:GT	improved	-130611.050565	33445	10	130611.050565
[212]282set_NC296:GT	improved	-310700.616617	79652	10	310700.616617
[213]282set_NC296A:GT	improved	-306816.517379	78727	10	306816.517379
[214]282set_NC298:GT	improved	-172524.963026	44863	10	172524.963026
[215]282set_NC300:GT	improved	-305027.104857	78213	10	305027.104857
[216]282set_NC302:GT	improved	-312549.34819	80136	10	312549.34819
[217]282set_NC304:GT	improved	-312475.673372	80277	10	312475.673372
[218]282set_NC306:GT	improved	-113480.014823	29028	10	113480.014823
[219]282set_NC310:GT	improved	-58688.285146	15266	10	58688.285146
[220]282set_NC314:GT	improved	-176479.08157	45427	10	176479.08157
[221]282set_NC318:GT	improved	-298126.753341	76518	10	298126.753341
[222]282set_NC320:GT	improved	-300354.407557	77074	10	300354.407557
[223]282set_NC324:GT	improved	-192338.053461	49486	10	192338.053461
[224]282set_NC326:GT	improved	-24559.47602	6381	10	24559.47602
[225]282set_NC328:GT	improved	-49022.517235	12568	10	49022.517235
[226]282set_NC33:GT	improved	-300268.665012	77131	10	300268.665012
[227]282set_NC336:GT	improved	-307828.13442	78899	10	307828.13442
[228]282set_NC338:GT	improved	-308859.856932	79383	10	308859.856932
[229]282set_NC340:GT	improved	-308591.216391	79084	10	308591.216391
[230]282set_NC342:GT	improved	-308988.616315	79073	10	308988.616315
[231]282set_NC344:GT	improved	-313533.096998	80198	10	313533.096998
[232]282set_NC346:GT	improved	-311627.98118	79895	10	311627.98118
[233]282set_NC348:GT	improved	-307872.051777	78861	10	307872.051777
[234]282set_NC350:GT	improved	-308809.964253	79319	10	308809.964253
[235]282set_NC352:GT	improved	-307714.015042	78891	10	307714.015042
[236]282set_NC354:GT	improved	-303414.77482	77965	10	303414.77482
[237]282set_NC356:GT	improved	-311230.904771	80102	10	311230.904771
[238]282set_NC358:GT	improved	-304147.835399	78132	10	304147.835399
[239]282set_NC360:GT	improved	-309994.376672	79472	10	309994.376672
[240]282set_NC362:GT	improved	-313382.476789	80179	10	313382.476789
[241]282set_NC364:GT	improved	-312345.300684	79941	10	312345.300684
[242]282set_NC366:GT	improved	-309268.816791	79380	10	309268.816791
[243]282set_NC368:GT	improved	-135952.556813	34800	10	135952.556813
[244]282set_ND246:GT	improved	-301377.344851	77538	10	301377.344851
[245]282set_Oh40B:GT	improved	-311698.151371	79899	10	311698.151371
[246]282set_Oh43E:GT	improved	-311873.94612	79783	10	311873.94612
[247]282set_Oh603:GT	improved	-301333.765227	77130	10	301333.765227
[248]282set_OH7B:GT	improved	-295292.961332	75633	10	295292.961332
[249]282set_Os420:GT	improved	-285014.487612	72833	10	285014.487612
[250]282set_P39Goodman-Buckler:GT	improved	-322083.268151	82523	10	322083.268151
[251]282set_Pa762:GT	improved	-315156.347544	80630	10	315156.347544
[252]282set_Pa875:GT	improved	-293262.0978	75162	10	293262.0978
[253]282set_Pa880:GT	improved	-291464.694348	74643	10	291464.694348
[254]282set_Pa91:GT	improved	-307837.584877	78773	10	307837.584877
[255]282set_R168:GT	improved	-289725.203911	74217	10	289725.203911
[256]282set_R177:GT	improved	-308851.18637	78994	10	308851.18637
[257]282set_R229:GT	improved	-41447.692346	10617	10	41447.692346
[258]282set_R4:GT	improved	-281111.776096	71891	10	281111.776096
[259]282set_SA24:GT	improved	-303791.64827	77799	10	303791.64827
[260]282set_SC213R:GT	improved	-306721.156163	78704	10	306721.156163
[261]282set_SC357:GT	improved	-300677.033388	77040	10	300677.033388
[262]282set_SC55:GT	improved	-302083.916311	77562	10	302083.916311
[263]282set_SD40:GT	improved	-279236.117456	71324	10	279236.117456
[264]282set_SD44:GT	improved	-286640.427986	73429	10	286640.427986
[265]282set_Sg1533:GT	improved	-303600.405611	77735	10	303600.405611
[266]282set_Sg18:GT	improved	-301172.833251	77148	10	301172.833251
[267]282set_T232:GT	improved	-294034.41469	75369	10	294034.41469
[268]282set_T234:GT	improved	-298029.735769	76405	10	298029.735769
[269]282set_T8:GT	improved	-303390.405844	77653	10	303390.405844
[270]282set_Tx303:GT	improved	-299445.265527	76875	10	299445.265527
[271]282set_Tx601:GT	improved	-304807.012113	78323	10	304807.012113
[272]282set_Tzi10:GT	improved	-307183.798032	78818	10	307183.798032
[273]282set_Tzi11:GT	improved	-295683.035717	75903	10	295683.035717
[274]282set_Tzi16:GT	improved	-287874.615589	73693	10	287874.615589
[275]282set_Tzi18:GT	improved	-306112.745085	78593	10	306112.745085
[276]282set_Tzi25:GT	improved	-255286.626924	65509	10	255286.626924
[277]282set_Tzi8:GT	improved	-300439.678989	77156	10	300439.678989
[278]282set_Tzi9:GT	improved	-308041.956093	79103	10	308041.956093
[279]282set_U267Y:GT	improved	-301514.820603	77335	10	301514.820603
[280]282set_VA102:GT	improved	-304073.808174	77841	10	304073.808174
[281]282set_Va14:GT	improved	-300544.023261	76973	10	300544.023261
[282]282set_Va17:GT	improved	-300532.614513	76984	10	300532.614513
[283]282set_Va22:GT	improved	-309257.179358	79074	10	309257.179358
[284]282set_Va26:GT	improved	-301311.876847	76994	10	301311.876847
[285]282set_Va35:GT	improved	-310046.309195	79332	10	310046.309195
[286]282set_Va59:GT	improved	-314683.498446	80479	10	314683.498446
[287]282set_Va85:GT	improved	-301907.397871	77185	10	301907.397871
[288]282set_Va99:GT	improved	-292416.693514	74905	10	292416.693514
[289]282set_VaW6:GT	improved	-301360.93098	77344	10	301360.93098
[290]282set_W117Ht:GT	improved	-301643.161588	77234	10	301643.161588
[291]282set_W153R:GT	improved	-301684.105066	77139	10	301684.105066
[292]282set_W182B:GT	improved	-297680.322181	76152	10	297680.322181
[293]282set_Wf9:GT	improved	-294000.899754	75199	10	294000.899754
[294]282set_Yu796:GT	improved	-300198.148298	76866	10	300198.148298
[295]29MIBZ2:GT	improved	-302270.409774	77193	10	302270.409774
[296]2FACC:GT	improved	-147680.576645	37921	10	147680.576645
[297]2MA22:GT	improved	-269111.922195	68877	10	269111.922195
[298]3189:GT	improved	-246559.973387	62859	10	246559.973387
[299]32:GT	improved	-169137.177098	43231	10	169137.177098
[300]3335:GT	improved	-249699.00017	63866	10	249699.00017
[301]3489a:GT	improved	-278859.29507	71402	10	278859.29507
[302]3514:GT	improved	-295727.624526	75887	10	295727.624526
[303]3H2:GT	improved	-315601.595302	80802	10	315601.595302
[304]3IBZ2:GT	improved	-294023.623696	75477	10	294023.623696
[305]4003:GT	improved	-320704.507467	81981	10	320704.507467
[306]411:GT	improved	-313518.789361	80394	10	313518.789361
[307]433-7:GT	improved	-282039.179184	72168	10	282039.179184
[308]441950:GT	improved	-282350.754902	72136	10	282350.754902
[309]444:GT	improved	-319354.429422	81693	10	319354.429422
[310]4676A:GT	improved	-259617.447395	66508	10	259617.447395
[311]468-3:GT	improved	-182954.77453	46820	10	182954.77453
[312]4722:GT	improved	-307476.275984	78745	10	307476.275984
[313]4936:GT	improved	-313261.027825	80019	10	313261.027825
[314]4F1:GT	improved	-331543.377254	84722	10	331543.377254
[315]4N506:GT	improved	-107847.067255	27571	10	107847.067255
[316]5023:GT	improved	-314026.359366	80328	10	314026.359366
[317]5032:GT	improved	-314778.386671	80509	10	314778.386671
[318]5707:GT	improved	-313466.480378	80114	10	313466.480378
[319]6:GT	improved	-271084.532543	69355	10	271084.532543
[320]6103:GT	improved	-231790.548301	59310	10	231790.548301
[321]619:GT	improved	-337099.130439	86183	10	337099.130439
[322]624:GT	improved	-232447.876359	59183	10	232447.876359
[323]680:GT	improved	-265611.698296	67889	10	265611.698296
[324]68122:GT	improved	-326586.840138	83443	10	326586.840138
[325]68139:GT	improved	-311217.692938	79513	10	311217.692938
[326]68202:GT	improved	-243325.254108	62145	10	243325.254108
[327]697:GT	improved	-183777.421956	47122	10	183777.421956
[328]698-3:GT	improved	-260742.279908	66622	10	260742.279908
[329]6M502:GT	improved	-305560.07373	78253	10	305560.07373
[330]7026B:GT	improved	-293431.309612	75185	10	293431.309612
[331]707:GT	improved	-307855.029926	78976	10	307855.029926
[332]7146:GT	improved	-314075.868601	80484	10	314075.868601
[333]72-125:GT	improved	-348456.456706	89000	10	348456.456706
[334]7236:GT	improved	-289192.058262	73893	10	289192.058262
[335]7327:GT	improved	-307056.510178	78491	10	307056.510178
[336]740:GT	improved	-313509.915077	80095	10	313509.915077
[337]743:GT	improved	-87843.156234	22530	10	87843.156234
[338]75-14gao:GT	improved	-324141.825436	82853	10	324141.825436
[339]75-24:GT	improved	-312119.147479	80063	10	312119.147479
[340]75-364:GT	improved	-323141.524496	82792	10	323141.524496
[341]757:GT	improved	-252280.857813	64524	10	252280.857813
[342]764:GT	improved	-115074.766397	29554	10	115074.766397
[343]77:GT	improved	-316772.881278	81263	10	316772.881278
[344]779:GT	improved	-290961.870622	74792	10	290961.870622
[345]78002A:GT	improved	-100593.412892	25805	10	100593.412892
[346]78004:GT	improved	-121283.391069	31129	10	121283.391069
[347]78010:GT	improved	-127490.541871	32724	10	127490.541871
[348]78371A:GT	improved	-317222.420364	81052	10	317222.420364
[349]785:GT	improved	-221449.338101	56791	10	221449.338101
[350]78551S:GT	improved	-314211.209893	80271	10	314211.209893
[351]78599:GT	improved	-331547.735232	84631	10	331547.735232
[352]787:GT	improved	-295992.170161	75857	10	295992.170161
[353]7884:GT	improved	-291505.706163	74703	10	291505.706163
[354]790:GT	improved	-108959.147737	28032	10	108959.147737
[355]79028:GT	improved	-295171.260507	75623	10	295171.260507
[356]7903E:GT	improved	-216925.306054	55530	10	216925.306054
[357]79131:GT	improved	-280200.183752	71972	10	280200.183752
[358]792:GT	improved	-131556.107928	33778	10	131556.107928
[359]794:GT	improved	-71667.55464	18434	10	71667.55464
[360]795:GT	improved	-134310.390367	34466	10	134310.390367
[361]802:GT	improved	-314102.103835	80367	10	314102.103835
[362]806A:GT	improved	-245490.262806	62563	10	245490.262806
[363]807:GT	improved	-278466.898198	71228	10	278466.898198
[364]807D:GT	improved	-283476.864771	72376	10	283476.864771
[365]811A:GT	improved	-282786.879314	72178	10	282786.879314
[366]82huangzao4:GT	improved	-211117.718831	54149	10	211117.718831
[367]832:GT	improved	-161765.223355	41121	10	161765.223355
[368]83IBI3:GT	improved	-299480.493528	76636	10	299480.493528
[369]84-126-15-1:GT	improved	-311050.156548	79486	10	311050.156548
[370]85bai64:GT	improved	-311808.020716	79681	10	311808.020716
[371]87001:GT	improved	-316255.433126	80832	10	316255.433126
[372]8701:GT	improved	-308805.55719	78931	10	308805.55719
[373]87916W:GT	improved	-118632.582361	30546	10	118632.582361
[374]897:GT	improved	-322802.054212	82486	10	322802.054212
[375]8982:GT	improved	-317345.906468	81221	10	317345.906468
[376]9058:GT	improved	-326514.855826	83370	10	326514.855826
[377]9101-7:GT	improved	-224825.268496	57433	10	224825.268496
[378]91huang10:GT	improved	-301439.224764	77222	10	301439.224764
[379]91huang15:GT	improved	-311702.353796	79977	10	311702.353796
[380]91huang5:GT	improved	-297764.248027	76387	10	297764.248027
[381]926:GT	improved	-336538.979999	86054	10	336538.979999
[382]928:GT	improved	-335571.291389	85822	10	335571.291389
[383]92huang40:GT	improved	-311893.3268	79644	10	311893.3268
[384]953:GT	improved	-256143.910517	65540	10	256143.910517
[385]96201:GT	improved	-306840.7807	78570	10	306840.7807
[386]9702:GT	improved	-297848.729515	76179	10	297848.729515
[387]9706:GT	improved	-310097.141995	79266	10	310097.141995
[388]9710:GT	improved	-249570.030392	63791	10	249570.030392
[389]98F1:GT	improved	-103272.880011	26657	10	103272.880011
[390]99122:GT	improved	-289344.230567	73927	10	289344.230567
[391]A272:GT	improved	-314915.704227	80928	10	314915.704227
[392]A554:GT	improved	-296920.255735	76092	10	296920.255735
[393]A619:GT	improved	-271149.864935	69501	10	271149.864935
[394]A632:GT	improved	-241815.660088	61903	10	241815.660088
[395]A679:GT	improved	-67704.150409	17199	10	67704.150409
[396]A801:GT	improved	-252294.634117	64641	10	252294.634117
[397]Ay3566:GT	improved	-236255.977686	60457	10	236255.977686
[398]Ay420:GT	improved	-281496.838532	71867	10	281496.838532
[399]B09:GT	improved	-236856.355838	60638	10	236856.355838
[400]B100:GT	improved	-300943.615341	77152	10	300943.615341
[401]B102:GT	improved	-305666.372941	78326	10	305666.372941
[402]B12:GT	improved	-314715.185262	80770	10	314715.185262
[403]B14:GT	improved	-206664.58182	52949	10	206664.58182
[404]B37:GT	improved	-258346.85837	66033	10	258346.85837
[405]B394:GT	improved	-308373.14876	78740	10	308373.14876
[406]B4:GT	improved	-294991.025784	75504	10	294991.025784
[407]B47:GT	improved	-263220.276666	67380	10	263220.276666
[408]B68:GT	improved	-240060.643485	61570	10	240060.643485
[409]B7:GT	improved	-280971.879127	72025	10	280971.879127
[410]B73:GT	improved	-7257.836949	1819	10	7257.836949
[411]B76:GT	improved	-262544.102348	67157	10	262544.102348
[412]B8:GT	improved	-307352.432969	78861	10	307352.432969
[413]B95:GT	improved	-296573.845238	76046	10	296573.845238
[414]B97:GT	improved	-297440.407751	76398	10	297440.407751
[415]B98:GT	improved	-291215.705549	74775	10	291215.705549
[416]bai197:GT	improved	-339292.687727	86782	10	339292.687727
[417]baihe43:GT	improved	-310849.07788	79776	10	310849.07788
[418]baiU8112:GT	improved	-284840.838121	72762	10	284840.838121
[419]bao3040:GT	improved	-279672.285412	71415	10	279672.285412
[420]BC4B:GT	improved	-208450.834395	53400	10	208450.834395
[421]BCC03:GT	improved	-306355.988302	78518	10	306355.988302
[422]Beck:GT	improved	-180277.33848	46295	10	180277.33848
[423]ben7884:GT	improved	-292267.092802	74857	10	292267.092802
[424]BM:GT	improved	-314234.303601	80276	10	314234.303601
[425]BS110:GT	improved	-131539.16811	33779	10	131539.16811
[426]BT1:GT	improved	-312191.144012	79838	10	312191.144012
