sample	group	N_del_sum	n_chr_rows
[721]LH205:GT	improved	22462	10
[722]LH208:GT	improved	36725	10
[723]LH215:GT	improved	79719	10
[724]LH220Ht:GT	improved	44814	10
[725]LH295:GT	improved	79849	10
[726]LH38:GT	improved	80296	10
[727]LH39:GT	improved	78679	10
[728]LH51:GT	improved	81223	10
[729]LH52:GT	improved	80743	10
[730]LH54:GT	improved	80683	10
[731]LH57:GT	improved	80567	10
[732]LH59:GT	improved	80636	10
[733]LH60:GT	improved	80797	10
[734]LH61:GT	improved	79568	10
[735]LH65:GT	improved	79880	10
[736]LH74:GT	improved	29020	10
[737]LH82:GT	improved	74930	10
[738]LH85:GT	improved	76086	10
[739]LH93:GT	improved	76263	10
[740]lian87:GT	improved	80274	10
[741]liao2202:GT	improved	77179	10
[742]liao2204:GT	improved	74979	10
[743]liao4271:GT	improved	74669	10
[744]liao5110:GT	improved	63386	10
[745]liao7794:GT	improved	52314	10
[746]LIBC4:GT	improved	78165	10
[747]LM-2:GT	improved	82634	10
[748]Lo:GT	improved	72863	10
[749]Lo1067:GT	improved	69410	10
[750]Lo1125:GT	improved	84048	10
[751]longkang1:GT	improved	79381	10
[752]longkang11:GT	improved	80793	10
[753]Los-6:GT	improved	45376	10
[754]LP1:GT	improved	57919	10
[755]Lp215D:GT	improved	78385	10
[756]LP5:GT	improved	17492	10
[757]lu65:GT	improved	79792	10
[758]luosu3:GT	improved	79167	10
[759]luyuan133:GT	improved	77727	10
[760]luyuan92:GT	improved	76983	10
[761]lv28:GT	improved	77467	10
[762]lv45:GT	improved	78375	10
[763]Lx9801:GT	improved	83364	10
[764]M101:GT	improved	77513	10
[765]M1016:GT	improved	81178	10
[766]M131-5:GT	improved	53405	10
[767]M14:GT	improved	58048	10
[768]M162W:GT	improved	78981	10
[769]M22:GT	improved	54060	10
[770]M3:GT	improved	66658	10
[771]M3736:GT	improved	78306	10
[772]M37W:GT	improved	79263	10
[773]M9:GT	improved	72528	10
[774]Max:GT	improved	63285	10
[775]Maxa:GT	improved	60170	10
[776]MBNA:GT	improved	79550	10
[777]MBPM:GT	improved	76624	10
[778]MBSJ:GT	improved	79446	10
[779]MBST:GT	improved	80949	10
[780]MBUB:GT	improved	78991	10
[781]MDF-13D:GT	improved	80561	10
[782]mei68113:GT	improved	72121	10
[783]ML606:GT	improved	77882	10
[784]MM-1A:GT	improved	81587	10
[785]MM402A:GT	improved	80608	10
[786]MO113:GT	improved	77998	10
[787]Mo17:GT	improved	80190	10
[788]Mo17-chin:GT	improved	80677	10
[789]MO18W:GT	improved	78412	10
[790]Mo24W:GT	improved	76241	10
[791]MP:GT	improved	51696	10
[792]Ms71:GT	improved	72530	10
[793]mu4:GT	improved	80758	10
[794]mu6:GT	improved	79223	10
[795]N138:GT	improved	81105	10
[796]N192:GT	improved	85702	10
[797]N42:GT	improved	58425	10
[798]N6:GT	improved	76339	10
[799]N68a:GT	improved	52563	10
[800]nan21-3:GT	improved	64752	10
[801]NC268:GT	improved	29540	10
[802]NC350:GT	improved	79841	10
[803]NC358:GT	improved	78704	10
[804]ND246:GT	improved	76414	10
[805]ning24:GT	improved	77449	10
[806]ning37:GT	improved	75677	10
[807]ning45:GT	improved	73959	10
[808]ning55:GT	improved	74917	10
[809]niu2-1:GT	improved	78598	10
[810]NN14B:GT	improved	71303	10
[811]NQ508:GT	improved	71228	10
[812]NS501:GT	improved	68520	10
[813]NS701:GT	improved	19391	10
[814]oh07B:GT	improved	75543	10
[815]Oh40B:GT	improved	79960	10
[816]Oh43:GT	improved	78429	10
[817]OH7:GT	improved	74391	10
[818]Oh7B:GT	improved	75519	10
[819]OQ603:GT	improved	70203	10
[820]P007:GT	improved	80945	10
[821]P1:GT	improved	80668	10
[822]P136:GT	improved	82916	10
[823]P138:GT	improved	83989	10
[824]P167:GT	improved	82283	10
[825]P25:GT	improved	83085	10
[826]P39:GT	improved	82572	10
[827]P39-chin:GT	improved	80675	10
[828]Pa91:GT	improved	78692	10
[829]PB80:GT	improved	10615	10
[830]PH207:GT	improved	75537	10
[831]PHBA6:GT	improved	78515	10
[832]PHG24:GT	improved	74966	10
[833]PHG35:GT	improved	79147	10
[834]PHG39:GT	improved	68242	10
[835]PHG47:GT	improved	76997	10
[836]PHG50:GT	improved	77491	10
[837]PHG71:GT	improved	65208	10
[838]PHG72:GT	improved	72448	10
[839]PHG83:GT	improved	78509	10
[840]PHG84:GT	improved	77517	10
[841]PHG86:GT	improved	33402	10
[842]PHH93:GT	improved	76562	10
[843]PHJ31:GT	improved	77670	10
[844]PHJ33:GT	improved	78629	10
[845]PHJ40:GT	improved	73044	10
[846]PHJ70:GT	improved	44094	10
[847]PHJ75:GT	improved	77575	10
[848]PHK05:GT	improved	80811	10
[849]PHK24:GT	improved	49059	10
[850]PHK35:GT	improved	46993	10
[851]PHK42:GT	improved	75766	10
[852]PHK76:GT	improved	79607	10
[853]PHK93:GT	improved	77508	10
[854]PHM10:GT	improved	72354	10
[855]PHM44:GT	improved	78563	10
[856]PHM57:GT	improved	78112	10
[857]PHM81:GT	improved	71954	10
[858]PHN11:GT	improved	75796	10
[859]PHN29:GT	improved	52938	10
[860]PHN37:GT	improved	80181	10
[861]PHN47:GT	improved	68790	10
[862]PHN66:GT	improved	65699	10
[863]PHN73:GT	improved	79292	10
[864]PHN82:GT	improved	75063	10
[865]PHNV9:GT	improved	58809	10
[866]PHP02:GT	improved	66946	10
[867]PHP55:GT	improved	73570	10
[868]PHP60:GT	improved	75857	10
[869]PHP76:GT	improved	75650	10
[870]PHP85:GT	improved	49235	10
[871]PHPR5:GT	improved	58287	10
[872]PHR25:GT	improved	76475	10
[873]PHR30:GT	improved	74690	10
[874]PHR32:GT	improved	77293	10
[875]PHR36:GT	improved	74413	10
[876]PHR47:GT	improved	73363	10
[877]PHR55:GT	improved	71721	10
[878]PHR58:GT	improved	80610	10
[879]PHR62:GT	improved	76158	10
[880]PHR63:GT	improved	77717	10
[881]PHT10:GT	improved	36260	10
[882]PHT22:GT	improved	77577	10
[883]PHT55:GT	improved	67411	10
[884]PHT60:GT	improved	76997	10
[885]PHT69:GT	improved	70510	10
[886]PHT77:GT	improved	70057	10
[887]PHV37:GT	improved	68995	10
[888]PHV53:GT	improved	79825	10
[889]PHV78:GT	improved	78566	10
[890]PHW03:GT	improved	75252	10
[891]PHW17:GT	improved	31451	10
[892]PHW20:GT	improved	75923	10
[893]PHW30:GT	improved	76277	10
[894]PHW43:GT	improved	77245	10
[895]PHW51:GT	improved	63485	10
[896]PHW52:GT	improved	47895	10
[897]PHW79:GT	improved	75697	10
[898]PHWG5:GT	improved	78793	10
[899]PHZ51:GT	improved	78430	10
[900]PN2:GT	improved	77963	10
[901]PN2-8:GT	improved	67395	10
[902]Q1261:GT	improved	77806	10
[903]Q381:GT	improved	76334	10
[904]qi205:GT	improved	78647	10
[905]qi318:GT	improved	79481	10
[906]qi319:GT	improved	83381	10
[907]qi35:GT	improved	77721	10
[908]qi410:GT	improved	63840	10
[909]qiong51:GT	improved	73786	10
[910]R017:GT	improved	80653	10
[911]R08:GT	improved	80169	10
[912]R136:GT	improved	81109	10
[913]R150:GT	improved	82447	10
[914]R1656:GT	improved	85531	10
[915]R25:GT	improved	81022	10
[916]R31:GT	improved	77094	10
[917]R98:GT	improved	80561	10
[918]RIMMA0438.1:GT	improved	78642	10
[919]RS710:GT	improved	72310	10
[920]S001:GT	improved	82170	10
[921]S22:GT	improved	64631	10
[922]S311:GT	improved	80220	10
[923]S37:GT	improved	81977	10
[924]S53:GT	improved	60925	10
[925]S7913:GT	improved	79958	10
[926]S8324:GT	improved	27214	10
[927]S8326:GT	improved	80684	10
[928]SC11-1:GT	improved	78409	10
[929]SC-14:GT	improved	71758	10
[930]SC14:GT	improved	69222	10
[931]SC24-1:GT	improved	71664	10
[932]SC30-1:GT	improved	80792	10
[933]SC-9:GT	improved	72038	10
[934]SC9:GT	improved	72174	10
[935]Seagu1117:GT	improved	80631	10
[936]Sg1533:GT	improved	77456	10
[937]SG17:GT	improved	81204	10
[938]shan89:GT	improved	82410	10
[939]shangyin110-1:GT	improved	76229	10
[940]shen135:GT	improved	82241	10
[941]shen137:GT	improved	84568	10
[942]shen142:GT	improved	61676	10
[943]shen5005:GT	improved	79950	10
[944]shen977:GT	improved	84919	10
[945]shuang741:GT	improved	84351	10
[946]shuangM9B-1:GT	improved	75660	10
[947]shuangtaiwu:GT	improved	80828	10
[948]siyi:GT	improved	65516	10
[949]song1145:GT	improved	79409	10
[950]SS99:GT	improved	75953	10
[951]su75:GT	improved	71114	10
[952]suwan1611:GT	improved	79627	10
[953]SW153:GT	improved	75146	10
[954]SX-4-21:GT	improved	73868	10
[955]SX-6-7:GT	improved	73169	10
[956]SZ3:GT	improved	83091	10
[957]T24:GT	improved	73988	10
[958]tai184:GT	improved	76898	10
[959]tangsipingtou:GT	improved	73692	10
[960]tian77:GT	improved	80445	10
[961]tie7922:GT	improved	49316	10
[962]Timpunia-1:GT	improved	74578	10
[963]Tx303:GT	improved	76267	10
[964]Tx601:GT	improved	79127	10
[965]Tzi8:GT	improved	78541	10
[966]Va26:GT	improved	77221	10
[967]Va35:GT	improved	79486	10
[968]VG85-5:GT	improved	75837	10
[969]VL0512447:GT	improved	78657	10
[970]VL05128:GT	improved	79018	10
[971]VL054178:GT	improved	79011	10
[972]VL05610:GT	improved	80410	10
[973]VL056883:GT	improved	79019	10
[974]VL062784:GT	improved	81751	10
[975]W117:GT	improved	22097	10
[976]W153R:GT	improved	84874	10
[977]W172:GT	improved	41201	10
[978]W182bn:GT	improved	76189	10
[979]W22:GT	improved	75504	10
[980]W222:GT	improved	73666	10
[981]W23:GT	improved	76031	10
[982]W238:GT	improved	74663	10
[983]W2H03:GT	improved	77087	10
[984]W344:GT	improved	73231	10
[985]W499:GT	improved	25910	10
[986]W64A:GT	improved	74342	10
[987]W668:GT	improved	65096	10
[988]W8304:GT	improved	18720	10
[989]W8555:GT	improved	21282	10
[990]W966:GT	improved	74943	10
[991]W967:GT	improved	77961	10
[992]W968:GT	improved	82492	10
[993]W969:GT	improved	79537	10
[994]W9706:GT	improved	79445	10
[995]wei3322:GT	improved	77396	10
[996]wenhuang31413:GT	improved	81217	10
[997]WIL500:GT	improved	69710	10
[998]WIL900:GT	improved	79289	10
[999]WIL901:GT	improved	65110	10
[1000]WIL903:GT	improved	66699	10
[1001]WN11H:GT	improved	80582	10
[1002]wu109:GT	improved	79794	10
[1003]wu125:GT	improved	75667	10
[1004]wu126:GT	improved	86066	10
[1005]wu312:GT	improved	77293	10
[1006]X314:GT	improved	64479	10
[1007]XF117:GT	improved	69805	10
[1008]XF134:GT	improved	81168	10
[1009]XF197:GT	improved	82451	10
[1010]XF223:GT	improved	80041	10
[1011]XF27:GT	improved	78284	10
[1012]XF77:GT	improved	75538	10
[1013]xi502:GT	improved	86382	10
[1014]xiangai3:GT	improved	75544	10
[1015]xing230:GT	improved	71477	10
[1016]xingK36:GT	improved	76723	10
[1017]xinlun5-9:GT	improved	80241	10
[1018]XOP2:GT	improved	63845	10
[1019]xuan6:GT	improved	77212	10
[1020]xun92-6:GT	improved	85882	10
[1021]xun92-8:GT	improved	86125	10
[1022]xun971:GT	improved	75828	10
[1023]XZ19:GT	improved	80944	10
[1024]Y223:GT	improved	83617	10
[1025]y9961:GT	improved	79068	10
[1026]yan103:GT	improved	80553	10
[1027]yan156:GT	improved	79738	10
[1028]yan172:GT	improved	77979	10
[1029]yan38:GT	improved	77531	10
[1030]yan812:GT	improved	38588	10
[1031]Yd6:GT	improved	55661	10
[1032]ye107:GT	improved	72514	10
[1033]ye488:GT	improved	65874	10
[1034]ye515:GT	improved	77970	10
[1035]ye52106:GT	improved	76113	10
[1036]ye5237:GT	improved	85593	10
[1037]ye8001:GT	improved	64910	10
[1038]ye8112:GT	improved	38811	10
[1039]ye832:GT	improved	36829	10
[1040]yi12:GT	improved	68576	10
[1041]yi36:GT	improved	72885	10
[1042]yi49:GT	improved	74241	10
[1043]yi67:GT	improved	75450	10
[1044]ys06:GT	improved	60208	10
[1045]yu374:GT	improved	65885	10
[1046]yu537A:GT	improved	76244	10
[1047]yu82:GT	improved	70743	10
[1048]yu87-1:GT	improved	79289	10
[1049]yuanwu02:GT	improved	75716	10
[1050]yuanwu05:GT	improved	82234	10
[1051]yue39-4:GT	improved	79830	10
[1052]yue89A12-1:GT	improved	79937	10
[1053]yue89E4-2:GT	improved	84306	10
[1054]yun147:GT	improved	77781	10
[1055]Z31B:GT	improved	81346	10
[1056]zaC546:GT	improved	77629	10
[1057]ZEAxppRCUDIAAPEI-1:GT	improved	82884	10
[1058]ZEAxppRCVDIAAPEI-2:GT	improved	82456	10
[1059]ZEAxppRCYDIAAPEI-5:GT	improved	70168	10
[1060]ZEAxppRDCDIAAPEI-2:GT	improved	80245	10
[1061]ZEAxppRDCDIAAPEI-7:GT	improved	80032	10
[1062]ZEAxppRDGDIAAPEI-11:GT	improved	81058	10
[1063]ZEAxppRDHDIAAPEI-12:GT	improved	82794	10
[1064]ZEAxppRDIDIAAPEI-1:GT	improved	85276	10
[1065]ZEAxppRDLDIAAPEI-2:GT	improved	66747	10
[1066]ZEAxppRDQDIAAPEI-3:GT	improved	81602	10
[1067]ZEAxujRADDIBAPE:GT	improved	63912	10
[1068]ZEAxujRAGDIBAPE:GT	improved	82618	10
[1069]ZEAxujRAHDIBAPE:GT	improved	82389	10
[1070]ZEAxujRAJDIBAPE:GT	improved	82945	10
[1071]ZEAxujRAKDIBAPE:GT	improved	88976	10
[1072]ZEAxujRALDIBAPE:GT	improved	46079	10
[1073]ZEAxujRAMDIBAPE:GT	improved	68517	10
[1074]ZEAxujRANDIBAPE:GT	improved	75669	10
[1075]ZEAxujRAODIBAPE:GT	improved	61215	10
[1076]ZEAxujRAPDIAAPE:GT	improved	77992	10
[1077]ZEAxujRAQDIAAPE:GT	improved	80472	10
[1078]ZEAxujRARDIAAPE:GT	improved	82220	10
[1079]ZEAxujRASDIAAPE:GT	improved	82145	10
[1080]ZEAxujRATDIAAPE:GT	improved	80517	10
[1081]ZEAxujRAUDIAAPE:GT	improved	83228	10
[1082]ZEAxujRAVDIAAPE:GT	improved	84216	10
[1083]ZEAxujRAWDIAAPE:GT	improved	64373	10
[1084]ZEAxujRAXDIAAPE:GT	improved	80033	10
[1085]ZEAxujRAYDIAAPE:GT	improved	76002	10
[1086]ZEAxujRAZDIAAPE:GT	improved	76184	10
[1087]ZEAxujRBADIAAPE:GT	improved	66703	10
[1088]ZEAxujRBBDIAAPE:GT	improved	81110	10
[1089]ZEAxujRBCDIBAPE:GT	improved	80298	10
[1090]ZEAxujRBDDIBAPE:GT	improved	81283	10
[1091]ZEAxujRBFDIBAPE:GT	improved	80141	10
[1092]zhangjin6:GT	improved	76922	10
[1093]zhangxi28:GT	improved	76002	10
[1094]zhen367:GT	improved	80695	10
[1095]zheng22:GT	improved	76270	10
[1096]zheng32:GT	improved	27703	10
[1097]zheng653:GT	improved	77970	10
[1098]zhengbai11:GT	improved	73256	10
[1099]zhong128:GT	improved	79194	10
[1100]zhong451:GT	improved	85338	10
[1101]zhonger02:GT	improved	65006	10
[1102]zhonghuang64:GT	improved	79867	10
[1103]zhongxi042:GT	improved	73458	10
[1104]zhongyin10:GT	improved	65941	10
[1105]zhongyin15:GT	improved	76657	10
[1106]zi330:GT	improved	36796	10
[1107]ziduosui:GT	improved	78284	10
[1108]ziyu3:GT	improved	80043	10
[1109]zong3:GT	improved	75287	10
[1110]zong31:GT	improved	79070	10
[1111]zong548-1521:GT	improved	75758	10
[1112]ZPON7:GT	improved	71950	10
[1113]ZS01250:GT	improved	75203	10
[1114]zun90110:GT	improved	82219	10
[5]ZEAxppRCWDIAAPEI-3:GT	landrace	83582	10
[6]ZEAxppRCXDIAAPEI-4:GT	landrace	82965	10
[7]BKN009:GT	landrace	80732	10
[8]BKN010:GT	landrace	80075	10
[9]BKN011:GT	landrace	79472	10
[10]BKN014:GT	landrace	81100	10
[11]BKN015:GT	landrace	78129	10
[12]BKN016:GT	landrace	82307	10
[13]BKN017:GT	landrace	78402	10
[14]BKN018:GT	landrace	77952	10
[15]BKN019:GT	landrace	78901	10
[16]BKN020:GT	landrace	78886	10
[17]BKN022:GT	landrace	78125	10
[18]BKN023:GT	landrace	80439	10
[19]BKN025:GT	landrace	78169	10
[20]BKN026:GT	landrace	78516	10
[21]BKN027:GT	landrace	81197	10
[22]BKN029:GT	landrace	77428	10
[23]BKN030:GT	landrace	78212	10
[24]BKN031:GT	landrace	77808	10
[25]BKN032:GT	landrace	79195	10
[26]BKN033:GT	landrace	79107	10
[27]BKN034:GT	landrace	78499	10
[28]BKN035:GT	landrace	76484	10
[29]BKN040:GT	landrace	78622	10
[30]RIMMA0438.1:GT	landrace	78642	10
[5]german_Teosinte:GT	wild	66891	10
[6]TIL01:GT	wild	68366	10
[7]TIL01-JD:GT	wild	69143	10
[8]TIL02:GT	wild	64609	10
[9]TIL03:GT	wild	69502	10
[10]TIL04-TIP285:GT	wild	65245	10
[11]TIL04-TIP454:GT	wild	67767	10
[12]TIL05:GT	wild	70915	10
[13]TIL06-TIP260:GT	wild	65138	10
[14]TIL06-TIP496:GT	wild	64684	10
[15]TIL07:GT	wild	69614	10
[16]TIL09:GT	wild	70205	10
[17]TIL10:GT	wild	67844	10
[18]TIL11:GT	wild	70271	10
[19]TIL12:GT	wild	63179	10
[20]TIL14-TIP498:GT	wild	68922	10
[21]TIL15:GT	wild	65256	10
[22]TIL16:GT	wild	65286	10
[23]TIL17:GT	wild	68467	10
[24]TIL25-TIP489:GT	wild	64629	10
