sample	group	N_del_sum	n_chr_rows
[158]282set_IA2132Goodman-Buckler:GT	improved	77243	10
[159]282set_Ia5125:GT	improved	78213	10
[160]282set_IDS28:GT	improved	77952	10
[161]282set_IDS69:GT	improved	78199	10
[162]282set_IDS91:GT	improved	77884	10
[163]282set_Il101:GT	improved	81527	10
[164]282set_Il14H:GT	improved	80767	10
[165]282set_ILLHy:GT	improved	67152	10
[166]282set_K148:GT	improved	77090	10
[167]282set_K4:GT	improved	75939	10
[168]282set_K55:GT	improved	75979	10
[169]282set_K64:GT	improved	75904	10
[170]282set_Ki11:GT	improved	80630	10
[171]282set_Ki14:GT	improved	80404	10
[172]282set_Ki2021:GT	improved	80025	10
[173]282set_Ki21:GT	improved	80899	10
[174]282set_Ki43:GT	improved	80525	10
[175]282set_Ki44:GT	improved	78378	10
[176]282set_Ky21:GT	improved	75176	10
[177]282set_KY226:GT	improved	73098	10
[178]282set_KY228:GT	improved	77292	10
[179]282set_L317:GT	improved	81056	10
[180]282set_L578:GT	improved	77124	10
[181]282set_M14:GT	improved	73293	10
[182]282set_M162W:GT	improved	78891	10
[183]282set_M37W:GT	improved	79270	10
[184]282set_MEF156-55-2:GT	improved	79070	10
[185]282set_Mo17:GT	improved	81039	10
[186]282set_Mo18W:GT	improved	78129	10
[187]282set_MO1W:GT	improved	76232	10
[188]282set_Mo24W:GT	improved	77136	10
[189]282set_Mo44:GT	improved	74115	10
[190]282set_Mo45:GT	improved	77624	10
[191]282set_Mo46:GT	improved	76734	10
[192]282set_Mo47:GT	improved	73024	10
[193]282set_MoG:GT	improved	78136	10
[194]282set_Mp339:GT	improved	76402	10
[195]282set_MS1334:GT	improved	77272	10
[196]282set_MS153:GT	improved	76187	10
[197]282set_Mt42:GT	improved	78264	10
[198]282set_N192:GT	improved	22049	10
[199]282set_N28Ht:GT	improved	65404	10
[200]282set_NC222:GT	improved	76845	10
[201]282set_NC230:GT	improved	76118	10
[202]282set_NC232:GT	improved	76553	10
[203]282set_NC236:GT	improved	74992	10
[204]282set_NC238:GT	improved	76912	10
[205]282set_NC250:GT	improved	70424	10
[206]282set_NC258:GT	improved	80623	10
[207]282set_NC260:GT	improved	76291	10
[208]282set_NC262:GT	improved	80104	10
[209]282set_NC264:GT	improved	78756	10
[210]282set_NC290A:GT	improved	80355	10
[211]282set_NC294:GT	improved	33445	10
[212]282set_NC296:GT	improved	79652	10
[213]282set_NC296A:GT	improved	78727	10
[214]282set_NC298:GT	improved	44863	10
[215]282set_NC300:GT	improved	78213	10
[216]282set_NC302:GT	improved	80136	10
[217]282set_NC304:GT	improved	80277	10
[218]282set_NC306:GT	improved	29028	10
[219]282set_NC310:GT	improved	15266	10
[220]282set_NC314:GT	improved	45427	10
[221]282set_NC318:GT	improved	76518	10
[222]282set_NC320:GT	improved	77074	10
[223]282set_NC324:GT	improved	49486	10
[224]282set_NC326:GT	improved	6381	10
[225]282set_NC328:GT	improved	12568	10
[226]282set_NC33:GT	improved	77131	10
[227]282set_NC336:GT	improved	78899	10
[228]282set_NC338:GT	improved	79383	10
[229]282set_NC340:GT	improved	79084	10
[230]282set_NC342:GT	improved	79073	10
[231]282set_NC344:GT	improved	80198	10
[232]282set_NC346:GT	improved	79895	10
[233]282set_NC348:GT	improved	78861	10
[234]282set_NC350:GT	improved	79319	10
[235]282set_NC352:GT	improved	78891	10
[236]282set_NC354:GT	improved	77965	10
[237]282set_NC356:GT	improved	80102	10
[238]282set_NC358:GT	improved	78132	10
[239]282set_NC360:GT	improved	79472	10
[240]282set_NC362:GT	improved	80179	10
[241]282set_NC364:GT	improved	79941	10
[242]282set_NC366:GT	improved	79380	10
[243]282set_NC368:GT	improved	34800	10
[244]282set_ND246:GT	improved	77538	10
[245]282set_Oh40B:GT	improved	79899	10
[246]282set_Oh43E:GT	improved	79783	10
[247]282set_Oh603:GT	improved	77130	10
[248]282set_OH7B:GT	improved	75633	10
[249]282set_Os420:GT	improved	72833	10
[250]282set_P39Goodman-Buckler:GT	improved	82523	10
[251]282set_Pa762:GT	improved	80630	10
[252]282set_Pa875:GT	improved	75162	10
[253]282set_Pa880:GT	improved	74643	10
[254]282set_Pa91:GT	improved	78773	10
[255]282set_R168:GT	improved	74217	10
[256]282set_R177:GT	improved	78994	10
[257]282set_R229:GT	improved	10617	10
[258]282set_R4:GT	improved	71891	10
[259]282set_SA24:GT	improved	77799	10
[260]282set_SC213R:GT	improved	78704	10
[261]282set_SC357:GT	improved	77040	10
[262]282set_SC55:GT	improved	77562	10
[263]282set_SD40:GT	improved	71324	10
[264]282set_SD44:GT	improved	73429	10
[265]282set_Sg1533:GT	improved	77735	10
[266]282set_Sg18:GT	improved	77148	10
[267]282set_T232:GT	improved	75369	10
[268]282set_T234:GT	improved	76405	10
[269]282set_T8:GT	improved	77653	10
[270]282set_Tx303:GT	improved	76875	10
[271]282set_Tx601:GT	improved	78323	10
[272]282set_Tzi10:GT	improved	78818	10
[273]282set_Tzi11:GT	improved	75903	10
[274]282set_Tzi16:GT	improved	73693	10
[275]282set_Tzi18:GT	improved	78593	10
[276]282set_Tzi25:GT	improved	65509	10
[277]282set_Tzi8:GT	improved	77156	10
[278]282set_Tzi9:GT	improved	79103	10
[279]282set_U267Y:GT	improved	77335	10
[280]282set_VA102:GT	improved	77841	10
[281]282set_Va14:GT	improved	76973	10
[282]282set_Va17:GT	improved	76984	10
[283]282set_Va22:GT	improved	79074	10
[284]282set_Va26:GT	improved	76994	10
[285]282set_Va35:GT	improved	79332	10
[286]282set_Va59:GT	improved	80479	10
[287]282set_Va85:GT	improved	77185	10
[288]282set_Va99:GT	improved	74905	10
[289]282set_VaW6:GT	improved	77344	10
[290]282set_W117Ht:GT	improved	77234	10
[291]282set_W153R:GT	improved	77139	10
[292]282set_W182B:GT	improved	76152	10
[293]282set_Wf9:GT	improved	75199	10
[294]282set_Yu796:GT	improved	76866	10
[295]29MIBZ2:GT	improved	77193	10
[296]2FACC:GT	improved	37921	10
[297]2MA22:GT	improved	68877	10
[298]3189:GT	improved	62859	10
[299]32:GT	improved	43231	10
[300]3335:GT	improved	63866	10
[301]3489a:GT	improved	71402	10
[302]3514:GT	improved	75887	10
[303]3H2:GT	improved	80802	10
[304]3IBZ2:GT	improved	75477	10
[305]4003:GT	improved	81981	10
[306]411:GT	improved	80394	10
[307]433-7:GT	improved	72168	10
[308]441950:GT	improved	72136	10
[309]444:GT	improved	81693	10
[310]4676A:GT	improved	66508	10
[311]468-3:GT	improved	46820	10
[312]4722:GT	improved	78745	10
[313]4936:GT	improved	80019	10
[314]4F1:GT	improved	84722	10
[315]4N506:GT	improved	27571	10
[316]5023:GT	improved	80328	10
[317]5032:GT	improved	80509	10
[318]5707:GT	improved	80114	10
[319]6:GT	improved	69355	10
[320]6103:GT	improved	59310	10
[321]619:GT	improved	86183	10
[322]624:GT	improved	59183	10
[323]680:GT	improved	67889	10
[324]68122:GT	improved	83443	10
[325]68139:GT	improved	79513	10
[326]68202:GT	improved	62145	10
[327]697:GT	improved	47122	10
[328]698-3:GT	improved	66622	10
[329]6M502:GT	improved	78253	10
[330]7026B:GT	improved	75185	10
[331]707:GT	improved	78976	10
[332]7146:GT	improved	80484	10
[333]72-125:GT	improved	89000	10
[334]7236:GT	improved	73893	10
[335]7327:GT	improved	78491	10
[336]740:GT	improved	80095	10
[337]743:GT	improved	22530	10
[338]75-14gao:GT	improved	82853	10
[339]75-24:GT	improved	80063	10
[340]75-364:GT	improved	82792	10
[341]757:GT	improved	64524	10
[342]764:GT	improved	29554	10
[343]77:GT	improved	81263	10
[344]779:GT	improved	74792	10
[345]78002A:GT	improved	25805	10
[346]78004:GT	improved	31129	10
[347]78010:GT	improved	32724	10
[348]78371A:GT	improved	81052	10
[349]785:GT	improved	56791	10
[350]78551S:GT	improved	80271	10
[351]78599:GT	improved	84631	10
[352]787:GT	improved	75857	10
[353]7884:GT	improved	74703	10
[354]790:GT	improved	28032	10
[355]79028:GT	improved	75623	10
