feature	n_neg	sum_neg_zss	median_neg_zss	mean_neg_zss	bp	burden_mag	neg_snp_per_mb	neg_burden_per_mb
exon	1100930	-2126531.37473708	-1.1359863	-1.9315772798789	62571474	2126531.37473708	17594.7589152207	33985.636565587
intron	972549	-1167640.35048497	-0.72094715	-1.20059796522846	57833623	1167640.35048497	16816.3249948909	20189.6455714866
upstream_2kb	845601	-1127320.32099569	-0.828125	-1.33315868949503	50898245	1127320.32099569	16613.5590726164	22148.5106410975
downstream_2kb	583740	-768846.843009705	-0.8051758	-1.31710494913781	34254144	768846.843009705	17041.4417595722	22445.3672819763
