Pedigree,Treatment,Bench,Row,Column,leaf_Count1,leaf_Count2,leaf_Count3,Pot_id
PI 533991,LN,1,17,17,3,3.5,4,1344
PI 534021,LN,1,18,18,3,3.5,4,1353
PI 576375,HN,2,36,6,3,4,5,2235
PI 656051,HN,2,33,9,3,4.5,4,2268
PI 656062,HN,2,40,15,3,5.5,NA,2321
PI 576375,LN,1,10,13,2.5,2.5,2.5,1121
PI 565121,LN,1,8,13,2.5,3.5,NA,1123
PI 597966,LN,1,7,15,2.5,3.5,3.5,1144
PI 655980,LN,1,13,14,2.5,2.5,3,1318
PI 656047,LN,1,9,18,2,2.5,3,1172
