Pedigree,Treatment,Bench,Row,Column,Whole_Fresh_1,Whole_Fresh_2,Whole_Fresh_3,Pot_id
PI 595740,HN,2,39,2,5.3,5.4,3.4,2192
PI 533987,HN,2,36,2,5.3,10.9,4.8,2195
PI 533998,HN,2,28,1,5.4,6,4.9,2003
PI 565121,HN,2,37,11,5.4,3.3,3.3,2284
PI 659693,HN,2,21,3,5.5,3.6,4.8,2030
PI 656078,HN,2,23,9,5.5,4,4.8,2088
PI 533776,HN,2,22,15,5.5,9.6,11.3,2149
PI 533869,HN,2,25,17,5.5,6.6,NA,2166
PI 533852,HN,2,23,17,5.5,5.4,4.9,2168
PI 656060,HN,2,27,3,5.59,4.3,4,2024
