sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[99]282set_CML158Q:GT	improved	10%	-514001.096007	10	514001.096007
[100]282set_CML218:GT	improved	10%	-521480.599437	10	521480.599437
[101]282set_CML220:GT	improved	10%	-512246.721957	10	512246.721957
[102]282set_CML228:GT	improved	10%	-528400.163654	10	528400.163654
[103]282set_CML238:GT	improved	10%	-515296.405529	10	515296.405529
[104]282set_CML247:GT	improved	10%	-524324.386033	10	524324.386033
[105]282set_CML254:GT	improved	10%	-512344.23628	10	512344.23628
[106]282set_CML258:GT	improved	10%	-508568.879302	10	508568.879302
[107]282set_CML261:GT	improved	10%	-502149.923032	10	502149.923032
[108]282set_CML264:GT	improved	10%	-512423.107211	10	512423.107211
[109]282set_CML277:GT	improved	10%	-520181.65621	10	520181.65621
[110]282set_CML281:GT	improved	10%	-516115.372864	10	516115.372864
[111]282set_CML287:GT	improved	10%	-516406.963529	10	516406.963529
[112]282set_CML311:GT	improved	10%	-519222.426302	10	519222.426302
[113]282set_CML314:GT	improved	10%	-510101.667419	10	510101.667419
[114]282set_CML321:GT	improved	10%	-513321.442753	10	513321.442753
[115]282set_CML322:GT	improved	10%	-514566.274334	10	514566.274334
[116]282set_CML323:GT	improved	10%	-510326.994648	10	510326.994648
[117]282set_CML328:GT	improved	10%	-525797.30767	10	525797.30767
[118]282set_CML331:GT	improved	10%	-514872.163398	10	514872.163398
[119]282set_CML332:GT	improved	10%	-514167.632881	10	514167.632881
[120]282set_CML333:GT	improved	10%	-517323.014943	10	517323.014943
[121]282set_CML341:GT	improved	10%	-510847.938026	10	510847.938026
[122]282set_CML38:GT	improved	10%	-519340.472053	10	519340.472053
[123]282set_CML45:GT	improved	10%	-527628.78738	10	527628.78738
[124]282set_CML5:GT	improved	10%	-515179.609861	10	515179.609861
[125]282set_CML52:GT	improved	10%	-520622.566338	10	520622.566338
[126]282set_CML61:GT	improved	10%	-515933.365714	10	515933.365714
[127]282set_CML69:GT	improved	10%	-518783.801372	10	518783.801372
[128]282set_CML77:GT	improved	10%	-509092.675084	10	509092.675084
[129]282set_CML91:GT	improved	10%	-509406.146483	10	509406.146483
[130]282set_CML92:GT	improved	10%	-504035.48757	10	504035.48757
[131]282set_CMV3:GT	improved	10%	-514681.911765	10	514681.911765
[132]282set_CO106:GT	improved	10%	-507665.933735	10	507665.933735
[133]282set_CO125:GT	improved	10%	-498145.831158	10	498145.831158
[134]282set_CO255:GT	improved	10%	-526321.84067	10	526321.84067
[135]282set_D940Y:GT	improved	10%	-518262.761918	10	518262.761918
[136]282set_DE1:GT	improved	10%	-509620.875253	10	509620.875253
[137]282set_DE-2:GT	improved	10%	-502154.930438	10	502154.930438
[138]282set_DE811:GT	improved	10%	-443137.488098	10	443137.488098
[139]282set_E2558W:GT	improved	10%	-501221.284422	10	501221.284422
[140]282set_EP1:GT	improved	10%	-535176.54829	10	535176.54829
[141]282set_F2834T:GT	improved	10%	-511178.517941	10	511178.517941
[142]282set_F6:GT	improved	10%	-511988.933251	10	511988.933251
[143]282set_F7:GT	improved	10%	-540132.373821	10	540132.373821
[144]282set_GA209:GT	improved	10%	-499375.080531	10	499375.080531
[145]282set_GT112:GT	improved	10%	-512150.338613	10	512150.338613
[146]282set_H105W:GT	improved	10%	-437932.901403	10	437932.901403
[147]282set_H49:GT	improved	10%	-499738.006411	10	499738.006411
[148]282set_H84:GT	improved	10%	-442942.405715	10	442942.405715
[149]282set_H91:GT	improved	10%	-367487.992387	10	367487.992387
[150]282set_H95:GT	improved	10%	-510559.450507	10	510559.450507
[151]282set_H99:GT	improved	10%	-507367.079263	10	507367.079263
[152]282set_Hi27Goodman-Buckler:GT	improved	10%	-482788.765905	10	482788.765905
[153]282set_HP301:GT	improved	10%	-510885.95008	10	510885.95008
[154]282set_I137TN:GT	improved	10%	-510900.973004	10	510900.973004
[155]282set_i1677a:GT	improved	10%	-522742.707395	10	522742.707395
[156]282set_I205:GT	improved	10%	-477707.010414	10	477707.010414
[157]282set_I29:GT	improved	10%	-503393.206245	10	503393.206245
[158]282set_IA2132Goodman-Buckler:GT	improved	10%	-510534.016319	10	510534.016319
[159]282set_Ia5125:GT	improved	10%	-514794.626402	10	514794.626402
[160]282set_IDS28:GT	improved	10%	-515272.187622	10	515272.187622
[161]282set_IDS69:GT	improved	10%	-517043.290912	10	517043.290912
[162]282set_IDS91:GT	improved	10%	-514730.414539	10	514730.414539
[163]282set_Il101:GT	improved	10%	-536391.126184	10	536391.126184
[164]282set_Il14H:GT	improved	10%	-532492.325011	10	532492.325011
[165]282set_ILLHy:GT	improved	10%	-441933.801579	10	441933.801579
[166]282set_K148:GT	improved	10%	-508026.41554	10	508026.41554
[167]282set_K4:GT	improved	10%	-498317.196703	10	498317.196703
[168]282set_K55:GT	improved	10%	-499213.215113	10	499213.215113
[169]282set_K64:GT	improved	10%	-499086.153788	10	499086.153788
[170]282set_Ki11:GT	improved	10%	-530767.926865	10	530767.926865
[171]282set_Ki14:GT	improved	10%	-529529.921774	10	529529.921774
[172]282set_Ki2021:GT	improved	10%	-528544.210042	10	528544.210042
[173]282set_Ki21:GT	improved	10%	-530711.291271	10	530711.291271
[174]282set_Ki43:GT	improved	10%	-530569.950247	10	530569.950247
[175]282set_Ki44:GT	improved	10%	-515588.252254	10	515588.252254
[176]282set_Ky21:GT	improved	10%	-494836.623868	10	494836.623868
[177]282set_KY226:GT	improved	10%	-479878.481409	10	479878.481409
[178]282set_KY228:GT	improved	10%	-509579.862321	10	509579.862321
[179]282set_L317:GT	improved	10%	-530318.595251	10	530318.595251
[180]282set_L578:GT	improved	10%	-506859.152606	10	506859.152606
[181]282set_M14:GT	improved	10%	-481836.430132	10	481836.430132
[182]282set_M162W:GT	improved	10%	-518358.972931	10	518358.972931
[183]282set_M37W:GT	improved	10%	-523300.922503	10	523300.922503
[184]282set_MEF156-55-2:GT	improved	10%	-522209.025919	10	522209.025919
[185]282set_Mo17:GT	improved	10%	-534140.949699	10	534140.949699
[186]282set_Mo18W:GT	improved	10%	-515129.254971	10	515129.254971
[187]282set_MO1W:GT	improved	10%	-502588.239544	10	502588.239544
[188]282set_Mo24W:GT	improved	10%	-506691.714046	10	506691.714046
[189]282set_Mo44:GT	improved	10%	-487769.084993	10	487769.084993
[190]282set_Mo45:GT	improved	10%	-508499.315573	10	508499.315573
[191]282set_Mo46:GT	improved	10%	-505319.524523	10	505319.524523
[192]282set_Mo47:GT	improved	10%	-478952.980941	10	478952.980941
[193]282set_MoG:GT	improved	10%	-513351.320724	10	513351.320724
[194]282set_Mp339:GT	improved	10%	-503356.628392	10	503356.628392
[195]282set_MS1334:GT	improved	10%	-509515.507038	10	509515.507038
[196]282set_MS153:GT	improved	10%	-501644.525415	10	501644.525415
[197]282set_Mt42:GT	improved	10%	-512669.992525	10	512669.992525
[198]282set_N192:GT	improved	10%	-144369.544583	10	144369.544583
[199]282set_N28Ht:GT	improved	10%	-430348.099263	10	430348.099263
[200]282set_NC222:GT	improved	10%	-502727.760452	10	502727.760452
[201]282set_NC230:GT	improved	10%	-499768.066025	10	499768.066025
[202]282set_NC232:GT	improved	10%	-504739.23558	10	504739.23558
[203]282set_NC236:GT	improved	10%	-494005.606408	10	494005.606408
[204]282set_NC238:GT	improved	10%	-504917.430123	10	504917.430123
[205]282set_NC250:GT	improved	10%	-461334.156624	10	461334.156624
[206]282set_NC258:GT	improved	10%	-529034.92621	10	529034.92621
[207]282set_NC260:GT	improved	10%	-500711.808354	10	500711.808354
[208]282set_NC262:GT	improved	10%	-526015.585602	10	526015.585602
[209]282set_NC264:GT	improved	10%	-518472.329516	10	518472.329516
[210]282set_NC290A:GT	improved	10%	-526958.450169	10	526958.450169
[211]282set_NC294:GT	improved	10%	-219712.718978	10	219712.718978
[212]282set_NC296:GT	improved	10%	-524041.462418	10	524041.462418
[213]282set_NC296A:GT	improved	10%	-517942.418019	10	517942.418019
[214]282set_NC298:GT	improved	10%	-307305.891393	10	307305.891393
[215]282set_NC300:GT	improved	10%	-516621.806321	10	516621.806321
[216]282set_NC302:GT	improved	10%	-525527.931823	10	525527.931823
[217]282set_NC304:GT	improved	10%	-528336.824241	10	528336.824241
[218]282set_NC306:GT	improved	10%	-190788.052402	10	190788.052402
[219]282set_NC310:GT	improved	10%	-98943.442749	10	98943.442749
[220]282set_NC314:GT	improved	10%	-296794.378237	10	296794.378237
[221]282set_NC318:GT	improved	10%	-504913.877445	10	504913.877445
[222]282set_NC320:GT	improved	10%	-507458.114295	10	507458.114295
[223]282set_NC324:GT	improved	10%	-323908.788342	10	323908.788342
[224]282set_NC326:GT	improved	10%	-40578.234205	10	40578.234205
[225]282set_NC328:GT	improved	10%	-81932.839703	10	81932.839703
[226]282set_NC33:GT	improved	10%	-508545.210273	10	508545.210273
[227]282set_NC336:GT	improved	10%	-519596.233574	10	519596.233574
[228]282set_NC338:GT	improved	10%	-521036.322756	10	521036.322756
[229]282set_NC340:GT	improved	10%	-521717.029662	10	521717.029662
[230]282set_NC342:GT	improved	10%	-519713.034218	10	519713.034218
[231]282set_NC344:GT	improved	10%	-526913.697924	10	526913.697924
[232]282set_NC346:GT	improved	10%	-525663.254957	10	525663.254957
[233]282set_NC348:GT	improved	10%	-521436.787997	10	521436.787997
[234]282set_NC350:GT	improved	10%	-523201.230041	10	523201.230041
[235]282set_NC352:GT	improved	10%	-520015.9999	10	520015.9999
[236]282set_NC354:GT	improved	10%	-513448.911872	10	513448.911872
[237]282set_NC356:GT	improved	10%	-526448.139342	10	526448.139342
[238]282set_NC358:GT	improved	10%	-514304.863466	10	514304.863466
[239]282set_NC360:GT	improved	10%	-522641.985156	10	522641.985156
[240]282set_NC362:GT	improved	10%	-525156.839181	10	525156.839181
[241]282set_NC364:GT	improved	10%	-525484.159369	10	525484.159369
[242]282set_NC366:GT	improved	10%	-520196.246757	10	520196.246757
[243]282set_NC368:GT	improved	10%	-229810.196509	10	229810.196509
[244]282set_ND246:GT	improved	10%	-509862.549271	10	509862.549271
[245]282set_Oh40B:GT	improved	10%	-524229.61911	10	524229.61911
[246]282set_Oh43E:GT	improved	10%	-522759.647899	10	522759.647899
[247]282set_Oh603:GT	improved	10%	-507591.379724	10	507591.379724
[248]282set_OH7B:GT	improved	10%	-494241.105702	10	494241.105702
[249]282set_Os420:GT	improved	10%	-481111.484415	10	481111.484415
[250]282set_P39Goodman-Buckler:GT	improved	10%	-543610.996401	10	543610.996401
[251]282set_Pa762:GT	improved	10%	-528648.071751	10	528648.071751
[252]282set_Pa875:GT	improved	10%	-494911.520061	10	494911.520061
[253]282set_Pa880:GT	improved	10%	-490424.9254	10	490424.9254
[254]282set_Pa91:GT	improved	10%	-515879.516005	10	515879.516005
[255]282set_R168:GT	improved	10%	-488553.617611	10	488553.617611
[256]282set_R177:GT	improved	10%	-519009.274386	10	519009.274386
[257]282set_R229:GT	improved	10%	-70962.69238	10	70962.69238
[258]282set_R4:GT	improved	10%	-471459.655379	10	471459.655379
[259]282set_SA24:GT	improved	10%	-514622.583528	10	514622.583528
[260]282set_SC213R:GT	improved	10%	-517122.316824	10	517122.316824
[261]282set_SC357:GT	improved	10%	-505171.444484	10	505171.444484
[262]282set_SC55:GT	improved	10%	-510369.101196	10	510369.101196
[263]282set_SD40:GT	improved	10%	-468019.892502	10	468019.892502
[264]282set_SD44:GT	improved	10%	-484421.122965	10	484421.122965
[265]282set_Sg1533:GT	improved	10%	-510887.544955	10	510887.544955
[266]282set_Sg18:GT	improved	10%	-507563.43266	10	507563.43266
[267]282set_T232:GT	improved	10%	-494027.934469	10	494027.934469
[268]282set_T234:GT	improved	10%	-501359.173012	10	501359.173012
[269]282set_T8:GT	improved	10%	-511719.653944	10	511719.653944
[270]282set_Tx303:GT	improved	10%	-507824.446438	10	507824.446438
[271]282set_Tx601:GT	improved	10%	-517958.257279	10	517958.257279
[272]282set_Tzi10:GT	improved	10%	-520067.925301	10	520067.925301
[273]282set_Tzi11:GT	improved	10%	-499173.511578	10	499173.511578
[274]282set_Tzi16:GT	improved	10%	-487562.274205	10	487562.274205
[275]282set_Tzi18:GT	improved	10%	-515658.952798	10	515658.952798
[276]282set_Tzi25:GT	improved	10%	-430418.952182	10	430418.952182
[277]282set_Tzi8:GT	improved	10%	-509336.482989	10	509336.482989
[278]282set_Tzi9:GT	improved	10%	-522423.166898	10	522423.166898
[279]282set_U267Y:GT	improved	10%	-511040.950235	10	511040.950235
[280]282set_VA102:GT	improved	10%	-512421.080321	10	512421.080321
[281]282set_Va14:GT	improved	10%	-506200.761753	10	506200.761753
[282]282set_Va17:GT	improved	10%	-506877.202042	10	506877.202042
[283]282set_Va22:GT	improved	10%	-520434.482874	10	520434.482874
[284]282set_Va26:GT	improved	10%	-504808.460284	10	504808.460284
[285]282set_Va35:GT	improved	10%	-522200.932602	10	522200.932602
[286]282set_Va59:GT	improved	10%	-528984.995523	10	528984.995523
[287]282set_Va85:GT	improved	10%	-507464.228516	10	507464.228516
[288]282set_Va99:GT	improved	10%	-490875.080213	10	490875.080213
[289]282set_VaW6:GT	improved	10%	-508659.406682	10	508659.406682
[290]282set_W117Ht:GT	improved	10%	-509004.639145	10	509004.639145
[291]282set_W153R:GT	improved	10%	-504743.494145	10	504743.494145
[292]282set_W182B:GT	improved	10%	-500355.391489	10	500355.391489
[293]282set_Wf9:GT	improved	10%	-496063.002378	10	496063.002378
[294]282set_Yu796:GT	improved	10%	-506972.285785	10	506972.285785
[295]29MIBZ2:GT	improved	10%	-506500.041179	10	506500.041179
[296]2FACC:GT	improved	10%	-248315.943821	10	248315.943821
[297]2MA22:GT	improved	10%	-455267.162233	10	455267.162233
[298]3189:GT	improved	10%	-411493.710987	10	411493.710987
[299]32:GT	improved	10%	-281862.507055	10	281862.507055
[300]3335:GT	improved	10%	-419723.122235	10	419723.122235
[301]3489a:GT	improved	10%	-470102.50307	10	470102.50307
[302]3514:GT	improved	10%	-499986.610019	10	499986.610019
[303]3H2:GT	improved	10%	-531103.605425	10	531103.605425
[304]3IBZ2:GT	improved	10%	-495867.536952	10	495867.536952
[305]4003:GT	improved	10%	-536829.904642	10	536829.904642
[306]411:GT	improved	10%	-526952.425618	10	526952.425618
[307]433-7:GT	improved	10%	-473221.604873	10	473221.604873
[308]441950:GT	improved	10%	-472333.725033	10	472333.725033
[309]444:GT	improved	10%	-536325.347718	10	536325.347718
[310]4676A:GT	improved	10%	-438438.974471	10	438438.974471
[311]468-3:GT	improved	10%	-307741.294492	10	307741.294492
[312]4722:GT	improved	10%	-519879.6425	10	519879.6425
[313]4936:GT	improved	10%	-526385.221194	10	526385.221194
[314]4F1:GT	improved	10%	-554542.717767	10	554542.717767
[315]4N506:GT	improved	10%	-182657.763037	10	182657.763037
[316]5023:GT	improved	10%	-526144.585209	10	526144.585209
[317]5032:GT	improved	10%	-527092.994403	10	527092.994403
[318]5707:GT	improved	10%	-527955.935522	10	527955.935522
[319]6:GT	improved	10%	-457166.915029	10	457166.915029
[320]6103:GT	improved	10%	-389178.281669	10	389178.281669
[321]619:GT	improved	10%	-565399.109976	10	565399.109976
[322]624:GT	improved	10%	-389577.134336	10	389577.134336
[323]680:GT	improved	10%	-445872.377519	10	445872.377519
[324]68122:GT	improved	10%	-546375.980252	10	546375.980252
[325]68139:GT	improved	10%	-521577.168942	10	521577.168942
[326]68202:GT	improved	10%	-407549.163417	10	407549.163417
[327]697:GT	improved	10%	-309601.610138	10	309601.610138
[328]698-3:GT	improved	10%	-436737.115155	10	436737.115155
[329]6M502:GT	improved	10%	-511950.860668	10	511950.860668
[330]7026B:GT	improved	10%	-493099.411068	10	493099.411068
[331]707:GT	improved	10%	-521794.413446	10	521794.413446
[332]7146:GT	improved	10%	-529856.699376	10	529856.699376
[333]72-125:GT	improved	10%	-583820.670595	10	583820.670595
[334]7236:GT	improved	10%	-486366.696378	10	486366.696378
[335]7327:GT	improved	10%	-518750.440459	10	518750.440459
[336]740:GT	improved	10%	-527633.120325	10	527633.120325
[337]743:GT	improved	10%	-147818.276864	10	147818.276864
[338]75-14gao:GT	improved	10%	-544041.26474	10	544041.26474
[339]75-24:GT	improved	10%	-527181.682797	10	527181.682797
[340]75-364:GT	improved	10%	-543241.579554	10	543241.579554
[341]757:GT	improved	10%	-421551.711745	10	421551.711745
[342]764:GT	improved	10%	-194585.966174	10	194585.966174
[343]77:GT	improved	10%	-534346.978892	10	534346.978892
[344]779:GT	improved	10%	-492948.759106	10	492948.759106
[345]78002A:GT	improved	10%	-168690.165417	10	168690.165417
[346]78004:GT	improved	10%	-203938.703691	10	203938.703691
[347]78010:GT	improved	10%	-213241.158369	10	213241.158369
[348]78371A:GT	improved	10%	-532159.652071	10	532159.652071
[349]785:GT	improved	10%	-374012.17421	10	374012.17421
[350]78551S:GT	improved	10%	-524387.231543	10	524387.231543
[351]78599:GT	improved	10%	-555432.188306	10	555432.188306
[352]787:GT	improved	10%	-499718.580225	10	499718.580225
[353]7884:GT	improved	10%	-489754.444078	10	489754.444078
[354]790:GT	improved	10%	-184725.596281	10	184725.596281
[355]79028:GT	improved	10%	-497255.539677	10	497255.539677
[356]7903E:GT	improved	10%	-361950.619112	10	361950.619112
[357]79131:GT	improved	10%	-474545.623512	10	474545.623512
[358]792:GT	improved	10%	-223628.635224	10	223628.635224
[359]794:GT	improved	10%	-120875.364507	10	120875.364507
[360]795:GT	improved	10%	-228400.624897	10	228400.624897
[361]802:GT	improved	10%	-527132.548324	10	527132.548324
[362]806A:GT	improved	10%	-413170.196651	10	413170.196651
[363]807:GT	improved	10%	-468394.309196	10	468394.309196
[364]807D:GT	improved	10%	-474996.503444	10	474996.503444
[365]811A:GT	improved	10%	-473853.190907	10	473853.190907
[366]82huangzao4:GT	improved	10%	-357198.445823	10	357198.445823
