cutoff_lab	group	n	median_abs	mean_abs	median_chr_rows
10%	improved	1110	508456.504822	475390.496097852	10
5%	improved	1110	301394.4326795	282485.953623934	10
1%	improved	1110	76505.8414015	72222.0792071748	10
10%	landrace	26	520160.649451	524019.761626154	10
5%	landrace	26	306939.415595	308585.849761885	10
1%	landrace	26	76571.9943995	76758.3964337308	10
10%	wild	20	461175.553995	459520.65046615	10
5%	wild	20	261703.051606	259307.8339406	10
1%	wild	20	61255.433756	60757.5372942	10
