group1	group2	p_value	p_adj_bh	cutoff
landrace	wild	3.56618563717236e-13	1.06985569115171e-12	1%
improved	wild	5.41941080959085e-09	8.12911621438628e-09	1%
improved	landrace	0.714016645616239	0.714016645616239	1%
landrace	wild	3.56618563717236e-13	1.06985569115171e-12	5%
improved	wild	4.63582823167285e-07	6.95374234750927e-07	5%
improved	landrace	0.00419920129936738	0.00419920129936738	5%
landrace	wild	3.56618563717236e-13	1.06985569115171e-12	10%
improved	wild	1.43513484621785e-05	2.15270226932677e-05	10%
improved	landrace	0.00011796251916107	0.00011796251916107	10%
